project_id,field_name,field_value,source_url,evidence_type,evidence_snippet,asset_path_or_pdf_page,captured_date,parser_confidence,overwrite_flag,notes
vero,confidence_score,0.60,https://wadidegladevelopments.com/projects/vero/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
vero,price_status,on_request,https://wadidegladevelopments.com/projects/vero/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
promenade_new_cairo,official_project_url,https://wadidegladevelopments.com/projects/promnade-new-cairo/,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Crawled https://wadidegladevelopments.com/projects/promnade-new-cairo/; card or page URL captured,,2026-02-22,,,
promenade_new_cairo,region,East Cairo,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Location text extracted from page: East Cairo | New Cairo,,2026-02-22,,,
promenade_new_cairo,city_area,New Cairo,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Location text: New Cairo,,2026-02-22,,,
promenade_new_cairo,micro_location,5 minutes from AUC and Road 90,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Micro-location from page: 5 minutes from AUC and Road 90,,2026-02-22,,,
promenade_new_cairo,project_type,residential,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Project type determined from page content: residential,,2026-02-22,,,
promenade_new_cairo,current_sales_status,selling,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Sales status: selling; index card checked,,2026-02-22,,,
promenade_new_cairo,unit_types_offered_json,"[""Apartments"", ""Penthouses""]",https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,"Unit types from DOM: Apartments, Penthouses",,2026-02-22,,,
promenade_new_cairo,key_amenities_json,"[""Walking Track"", ""Gym"", ""Swimming Pools"", ""Secured Parking""]",https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,"Amenities from DOM: Walking Track, Gym, Swimming Pools, Secured Parking",,2026-02-22,,,
promenade_new_cairo,pools_flag,true,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
promenade_new_cairo,gym_flag,true,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,gym_flag=true from amenities/DOM,,2026-02-22,,,
