timestamp,request_id,session_id,endpoint,intent,kb_version_hash,keyword_hits,vector_hits,blended_hits,top_entities_json,model,tokens_in,tokens_out,latency_ms,status,error_reason,cost_estimate_usd,message_hash
2026-03-03T05:33:42.310912+00:00,158b7ec8,test_rag_1,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""blumar_hills"", ""waterside"", ""living_community"", ""murano""]",gpt-4o-mini,0,0,5070,ok,,0.0,0701585bcb004b8a
2026-03-03T05:33:46.875000+00:00,52024127,test_rag_2,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""waterside""]",gpt-4o-mini,0,0,4553,ok,,0.0,f931fd40db3d4c0c
2026-03-03T05:33:50.049734+00:00,78deb863,test_rag_3,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3161,ok,,0.0,5693cae679f67f98
2026-03-03T05:33:53.759839+00:00,543de820,test_rag_1,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""blumar_hills"", ""waterside"", ""living_community"", ""murano""]",gpt-4o-mini,0,0,3250,ok,,0.0,0701585bcb004b8a
2026-03-03T05:33:57.678817+00:00,a8b58435,test_rag_2,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""waterside""]",gpt-4o-mini,0,0,3913,ok,,0.0,f931fd40db3d4c0c
2026-03-03T05:34:01.070744+00:00,24c2e58d,test_rag_3,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3383,ok,,0.0,5693cae679f67f98
2026-03-03T05:34:04.960999+00:00,1c6a872a,test_rag_4,/api/chat/stream,shortlist,dcb4d66a6b47,0,18,18,"[""river_walk""]",gpt-4o-mini,0,0,3879,ok,,0.0,cbcb99a5ff085bc3
2026-03-03T05:34:08.295322+00:00,907145d2,test_rag_5,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3321,ok,,0.0,e3b345c91ca7e6b6
2026-03-03T05:34:46.095153+00:00,7ba81014,test_rag_1,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""blumar_hills"", ""waterside"", ""living_community"", ""murano""]",gpt-4o-mini,0,0,4741,ok,,0.0,0701585bcb004b8a
2026-03-03T05:34:50.329986+00:00,7a9d63ca,test_rag_2,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""waterside""]",gpt-4o-mini,0,0,4221,ok,,0.0,f931fd40db3d4c0c
2026-03-03T05:34:54.246518+00:00,c338764f,test_rag_3,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3886,ok,,0.0,5693cae679f67f98
2026-03-03T05:34:58.307837+00:00,90e5ec43,test_rag_4,/api/chat/stream,shortlist,dcb4d66a6b47,0,18,18,"[""river_walk""]",gpt-4o-mini,0,0,4039,ok,,0.0,cbcb99a5ff085bc3
2026-03-03T05:35:02.010458+00:00,c7de5278,test_rag_5,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3692,ok,,0.0,e3b345c91ca7e6b6
2026-03-03T05:35:16.475624+00:00,d9273233,test_rag_1,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""blumar_hills"", ""waterside"", ""living_community"", ""murano""]",gpt-4o-mini,0,0,5227,ok,,0.0,0701585bcb004b8a
2026-03-03T05:35:19.837731+00:00,a8d232ef,test_rag_2,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""waterside""]",gpt-4o-mini,0,0,3350,ok,,0.0,f931fd40db3d4c0c
2026-03-03T05:35:23.117143+00:00,638a18d7,test_rag_3,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,3272,ok,,0.0,5693cae679f67f98
2026-03-03T05:35:26.879422+00:00,aee1d5f3,test_rag_4,/api/chat/stream,shortlist,dcb4d66a6b47,0,18,18,"[""river_walk""]",gpt-4o-mini,0,0,3750,ok,,0.0,cbcb99a5ff085bc3
2026-03-03T05:35:29.633414+00:00,367f41ab,test_rag_5,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""horizon"", ""breeze"", ""edge""]",gpt-4o-mini,0,0,2746,ok,,0.0,e3b345c91ca7e6b6
2026-03-03T07:19:08.459896+00:00,b249cbdb,test_session_id,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,5016,ok,,0.0,8f434346648f6b96
2026-03-03T07:22:47.379209+00:00,e70de64a,sess_mmaa5ywzto5yd,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,6256,ok,,0.0,8f434346648f6b96
2026-03-03T07:23:16.513313+00:00,ee9c8ba5,sess_mmaa5ywzto5yd,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""ojo""]",gpt-4o-mini,0,0,6582,ok,,0.0,24a1cb480922fb70
2026-03-03T07:23:35.655076+00:00,d85f4ed7,sess_mmaa5ywzto5yd,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""promenade_new_cairo"", ""vyon""]",gpt-4o-mini,0,0,5639,ok,,0.0,2cd047f50cba4c12
2026-03-03T07:43:22.681831+00:00,a507e572,sess_mmaawepyk16oj,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,5390,ok,,0.0,8f434346648f6b96
2026-03-03T07:43:39.266499+00:00,7f07fddd,sess_mmaawepyk16oj,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""clubtown"", ""blumar_hills"", ""promenade_new_cairo"", ""neo_lakes""]",gpt-4o-mini,0,0,6055,ok,,0.0,d0be585e752e3a61
2026-03-03T07:44:02.567031+00:00,865936f1,sess_mmaawepyk16oj,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""murano"", ""living_community"", ""clubtown"", ""floating_islands""]",gpt-4o-mini,0,0,6761,ok,,0.0,b95ebd840c5bc278
2026-03-03T07:44:22.575513+00:00,57cef7c3,sess_mmaawepyk16oj,/api/chat/stream,shortlist,dcb4d66a6b47,0,26,26,"[""clubtown"", ""blumar_hills"", ""waterside"", ""ojo""]",gpt-4o-mini,0,0,7888,ok,,0.0,983acf57807ae475
2026-03-03T07:48:54.741840+00:00,b1bfb814,test_session_id,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""blumar_hills""]",gpt-4o-mini,0,0,6802,ok,,0.0,c31ad155ca833b78
2026-03-03T07:52:13.277692+00:00,b902e53f,sess_mmab6kwrd6rzu,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,5190,ok,,0.0,8f434346648f6b96
2026-03-03T08:13:56.159986+00:00,b3444f27,sess_mmabyyd5w72my,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,2833,ok,,0.0,8f434346648f6b96
2026-03-03T08:14:12.427118+00:00,7c41828f,sess_mmabyyd5w72my,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""clubtown"", ""blumar_hills"", ""waterside"", ""ojo""]",gpt-4o-mini,0,0,7640,ok,,0.0,9a1ba8e9b3d00fd3
2026-03-03T08:24:58.623374+00:00,2b334de3,sess_mmacdwmp2x18f,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,5090,ok,,0.0,8f434346648f6b96
2026-03-03T08:25:15.045102+00:00,4ea2304b,sess_mmacdwmp2x18f,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""waterside"", ""ojo""]",gpt-4o-mini,0,0,7677,ok,,0.0,ffeb393396999321
2026-03-03T08:27:07.926898+00:00,c4913cc6,sess_mmacdwmp2x18f,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""floating_islands""]",gpt-4o-mini,0,0,9484,ok,,0.0,bb4522bcf20e9ecd
2026-03-03T09:27:56.427774+00:00,4872df10,sess_mmaemq8gwu2kc,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""waterside""]",gpt-4o-mini,0,0,3570,ok,,0.0,3639efcd08abb273
2026-03-03T11:18:32.404709+00:00,ba66567d,sess_mmaikuu4if6mp,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""murano"", ""clubtown"", ""promenade_new_cairo""]",gpt-4o-mini,0,0,4879,ok,,0.0,185f8db32271fe25
2026-03-03T11:18:56.198694+00:00,ab206067,sess_mmaikuu4if6mp,/api/chat/stream,pricing,dcb4d66a6b47,0,18,18,"[""clubtown"", ""breeze"", ""horizon"", ""blumar_hills""]",gpt-4o-mini,0,0,5877,ok,,0.0,ed1720f5df8b2c53
2026-03-03T11:20:11.167625+00:00,810285b1,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,1,18,18,"[""clubtown"", ""horizon"", ""vyon"", ""breeze""]",gpt-4o-mini,0,0,6961,ok,,0.0,28295a0ac31d88e9
